title,genre,link
Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",https://myanimelist.net/anime/28891/Haikyuu_Second_Season
Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",https://myanimelist.net/anime/34599/Made_in_Abyss
Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",https://myanimelist.net/anime/37510/Mob_Psycho_100_II
Sen to Chihiro no Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']",https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",https://myanimelist.net/anime/34096/Gintama
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",https://myanimelist.net/anime/918/Gintama
Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']",https://myanimelist.net/anime/4181/Clannad__After_Story
Gintama': Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",https://myanimelist.net/anime/15417/Gintama__Enchousen
One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']",https://myanimelist.net/anime/30276/One_Punch_Man
Kaguya-hime no Monogatari,"['Fantasy', 'Historical']",https://myanimelist.net/anime/16664/Kaguya-hime_no_Monogatari
Koukaku Kidoutai 2.0,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",https://myanimelist.net/anime/4672/Koukaku_Kidoutai_20
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"['Comedy', 'Josei', 'Music', 'Romance']",https://myanimelist.net/anime/8038/Nodame_Cantabile__Finale_-_Mine_to_Kiyora_no_Saikai
Saraiya Goyou,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']",https://myanimelist.net/anime/7588/Saraiya_Goyou
Saint Seiya: Meiou Hades Meikai-hen,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']",https://myanimelist.net/anime/1253/Saint_Seiya__Meiou_Hades_Meikai-hen
Noragami OVA,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",https://myanimelist.net/anime/20767/Noragami_OVA
Lupin III: Part II,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",https://myanimelist.net/anime/1425/Lupin_III__Part_II
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","['Slice of Life', 'Comedy', 'Fantasy']",https://myanimelist.net/anime/35363/Kobayashi-san_Chi_no_Maid_Dragon__Valentine_Soshite_Onsen_-_Amari_Kitai_Shinaide_Kudasai
Kuroko no Basket 2nd Season NG-shuu,"['Comedy', 'Sports']",https://myanimelist.net/anime/22673/Kuroko_no_Basket_2nd_Season_NG-shuu
K-On!: Live House!,"['Comedy', 'Music', 'School', 'Slice of Life']",https://myanimelist.net/anime/6862/K-On__Live_House
K-On!,"['Slice of Life', 'Comedy', 'Music', 'School']",https://myanimelist.net/anime/5680/K-On
InuYasha Movie 3: Tenka Hadou no Ken,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",https://myanimelist.net/anime/451/InuYasha_Movie_3__Tenka_Hadou_no_Ken
Hidamari Sketch x ☆☆☆ Specials,"['Slice of Life', 'Comedy', 'School', 'Seinen']",https://myanimelist.net/anime/9563/Hidamari_Sketch_x_%E2%98%86%E2%98%86%E2%98%86_Specials
Haikyuu!! Movie 2: Shousha to Haisha,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",https://myanimelist.net/anime/30364/Haikyuu_Movie_2__Shousha_to_Haisha
Gochuumon wa Usagi Desu ka??: Dear My Sister,"['Slice of Life', 'Comedy']",https://myanimelist.net/anime/33280/Gochuumon_wa_Usagi_Desu_ka__Dear_My_Sister
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",https://myanimelist.net/anime/36369/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Seiran_1
Gekkan Shoujo Nozaki-kun Specials,"['Comedy', 'Romance', 'School']",https://myanimelist.net/anime/27633/Gekkan_Shoujo_Nozaki-kun_Specials
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season","['Action', 'Military', 'Adventure', 'Fantasy']",https://myanimelist.net/anime/31637/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_2nd_Season
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.","['Slice of Life', 'Comedy']",https://myanimelist.net/anime/38145/Doukyonin_wa_Hiza_Tokidoki_Atama_no_Ue
Digimon Adventure,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",https://myanimelist.net/anime/552/Digimon_Adventure
Byousoku 5 Centimeter,"['Slice of Life', 'Drama', 'Romance']",https://myanimelist.net/anime/1689/Byousoku_5_Centimeter
Detective Conan OVA 10: Kid in Trap Island,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",https://myanimelist.net/anime/8609/Detective_Conan_OVA_10__Kid_in_Trap_Island
Bungou Stray Dogs: Dead Apple,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']",https://myanimelist.net/anime/34944/Bungou_Stray_Dogs__Dead_Apple
Asagao to Kase-san.,"['Romance', 'School', 'Shoujo Ai']",https://myanimelist.net/anime/36214/Asagao_to_Kase-san
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,"['Action', 'Comedy', 'School', 'Shounen']",https://myanimelist.net/anime/32863/Ansatsu_Kyoushitsu_2nd_Season__Kagaijugyou-hen
Yaoguai Mingdan 2nd Season,"['Action', 'Comedy', 'Romance', 'Fantasy']",https://myanimelist.net/anime/36160/Yaoguai_Mingdan_2nd_Season
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",https://myanimelist.net/anime/33064/Uchuu_Senkan_Yamato_2202__Ai_no_Senshi-tachi
Transformers the Movie,"['Action', 'Mecha']",https://myanimelist.net/anime/2265/Transformers_the_Movie
Toshokan Sensou: Kakumei no Tsubasa,"['Action', 'Comedy', 'Military', 'Romance']",https://myanimelist.net/anime/11001/Toshokan_Sensou__Kakumei_no_Tsubasa
Shokugeki no Souma: Shin no Sara,"['Ecchi', 'School', 'Shounen']",https://myanimelist.net/anime/39940/Shokugeki_no_Souma__Shin_no_Sara
Paradise Kiss,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",https://myanimelist.net/anime/322/Paradise_Kiss
Manga de Wakaru! Fate/Grand Order,['Comedy'],https://myanimelist.net/anime/38958/Manga_de_Wakaru_Fate_Grand_Order
Lucky☆Star: Original na Visual to Animation,"['Comedy', 'Parody', 'School', 'Slice of Life']",https://myanimelist.net/anime/4472/Lucky%E2%98%86Star__Original_na_Visual_to_Animation
Last Exile,"['Action', 'Sci-Fi', 'Adventure']",https://myanimelist.net/anime/97/Last_Exile
